#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.55558,0.00035208,0.00031459,0.001196,0.0005314,0.0011847,6.1892e-06,0.0016837
0.56331,0.00035261,0.00031406,0.0012206,0.00055604,0.0012184,6.3961e-06,0.0017317
0.57116,0.00035319,0.00031348,0.0012474,0.00058288,0.0012552,6.6236e-06,0.0017839
0.57911,0.00035383,0.00031284,0.0012767,0.00061223,0.0012954,6.875e-06,0.001841
0.58718,0.00035453,0.00031214,0.0013088,0.00064441,0.0013395,7.1541e-06,0.0019037
0.59535,0.0003553,0.00031137,0.0013442,0.00067987,0.001388,7.4654e-06,0.0019727
0.60364,0.00035615,0.00031052,0.0013834,0.00071912,0.0014417,7.8147e-06,0.0020491
0.61205,0.00035709,0.00030957,0.001427,0.00076277,0.0015015,8.2089e-06,0.002134
0.62057,0.00035815,0.00030851,0.0014758,0.00081159,0.0015683,8.6572e-06,0.0022291
0.62921,0.00035934,0.00030732,0.0015306,0.00086654,0.0016435,9.1709e-06,0.002336
0.63798,0.00036069,0.00030597,0.0015928,0.00092881,0.0017287,9.7647e-06,0.0024572
0.64686,0.00036224,0.00030443,0.0016639,0.00099996,0.001826,1.0458e-05,0.0025956
0.65587,0.00036402,0.00030265,0.0017458,0.001082,0.0019382,1.1278e-05,0.0027552
0.665,0.00036609,0.00030057,0.0018413,0.0011776,0.0020689,1.2261e-05,0.0029411
0.67426,0.00036854,0.00029813,0.0019539,0.0012903,0.0022231,1.3457e-05,0.0031604
0.68365,0.00037146,0.00029521,0.0020887,0.0014252,0.0024075,1.4942e-05,0.0034227
0.69317,0.00037502,0.00029164,0.0022529,0.0015895,0.0026319,1.6829e-05,0.0037422
0.70282,0.00037946,0.00028721,0.0024572,0.0017939,0.0029111,1.9296e-05,0.0041395
0.71261,0.00038512,0.00028155,0.0027182,0.002055,0.0032675,2.2641e-05,0.004647
0.72253,0.00039262,0.00027404,0.0030635,0.0024002,0.0037384,2.7396e-05,0.0053177
0.7326,0.00040298,0.00026369,0.0035415,0.0028779,0.0043897,3.4598e-05,0.0062455
0.7428,0.00041831,0.00024836,0.0042482,0.0035832,0.0053505,4.6545e-05,0.0076149
0.75314,0.00044333,0.00022333,0.0054033,0.0047339,0.0069164,6.9342e-05,0.0098479
0.76363,0.00049233,0.00017434,0.0076689,0.0069808,0.0099724,0.0001251,0.014207
0.77426,0.00065054,1.6181e-05,0.015037,0.014181,0.019808,0.00037976,0.028203
0.78505,0.00026417,0.0004025,0.0035351,0.0027856,0.0047485,0.00044158,0.0057408
0.79598,5.4769e-05,0.0006119,0.012751,0.012905,0.018647,0.00037965,0.025479
0.80706,0.00014966,0.00051701,0.0081514,0.0087734,0.011842,7.2675e-05,0.01663
0.8183,0.00021461,0.00045206,0.0051403,0.0058011,0.0075979,1.7755e-05,0.010722
0.8297,0.00024704,0.00041962,0.0036422,0.0043096,0.0055046,3.3192e-06,0.0077823
0.84125,0.00026609,0.00040057,0.0027641,0.0034328,0.0042825,2.2321e-06,0.0060604
0.85296,0.00027856,0.00038811,0.0021896,0.0028586,0.003485,4.0182e-06,0.0049347
0.86484,0.00028734,0.00037933,0.0017853,0.0024541,0.0029245,4.711e-06,0.0041427
0.87689,0.00029384,0.00037282,0.0014854,0.002154,0.0025094,4.8955e-06,0.0035556
0.8891,0.00029886,0.00036781,0.0012543,0.0019227,0.0021897,4.8442e-06,0.0031033
0.90148,0.00030284,0.00036382,0.0010709,0.0017391,0.0019362,4.6831e-06,0.0027443
