#Displacement noise coupling G: Multiply G with the displacement noise spectrum of each mirror in m/sqrt(Hz) to get the strain equivalent DARM noise.
#freq,ETMX,ETMY,ITMX,ITMY,BS,PRM,SRM
0.45778,0.00034443,0.00032224,0.00084437,0.00017807,0.00049998,0.0001464,0.00085384
0.46416,0.00034464,0.00032203,0.00085404,0.00018766,0.00050617,0.0001515,0.0008676
0.47062,0.00034486,0.00032181,0.0008644,0.00019793,0.00051266,0.00015703,0.00088224
0.47718,0.0003451,0.00032157,0.0008755,0.00020892,0.0005195,0.00016305,0.00089783
0.48382,0.00034536,0.00032131,0.00088742,0.00022073,0.0005267,0.00016963,0.00091446
0.49056,0.00034564,0.00032103,0.00090026,0.00023344,0.00053427,0.00017683,0.00093225
0.49739,0.00034594,0.00032073,0.00091411,0.00024714,0.00054226,0.00018474,0.00095131
0.50432,0.00034626,0.00032041,0.00092912,0.00026198,0.00055068,0.00019347,0.00097177
0.51134,0.00034661,0.00032006,0.00094541,0.00027807,0.00055956,0.00020312,0.00099379
0.51846,0.00034699,0.00031967,0.00096315,0.00029559,0.00056894,0.00021386,0.0010176
0.52568,0.00034741,0.00031926,0.00098255,0.00031473,0.00057884,0.00022584,0.0010433
0.533,0.00034787,0.0003188,0.0010039,0.00033573,0.00058929,0.00023929,0.0010712
0.54042,0.00034838,0.00031829,0.0010273,0.00035886,0.00060032,0.00025447,0.0011016
0.54795,0.00034894,0.00031773,0.0010534,0.00038446,0.00061197,0.0002717,0.0011349
0.55558,0.00034956,0.0003171,0.0010824,0.00041296,0.00062423,0.0002914,0.0011715
0.56331,0.00035026,0.0003164,0.0011149,0.00044486,0.00063714,0.00031408,0.0012118
0.57116,0.00035105,0.00031562,0.0011516,0.00048084,0.00065069,0.00034042,0.0012566
0.57911,0.00035195,0.00031472,0.0011933,0.00052172,0.00066483,0.0003713,0.0013065
0.58718,0.00035298,0.00031369,0.0012414,0.00056862,0.00067949,0.00040791,0.0013628
0.59535,0.00035417,0.0003125,0.0012971,0.00062298,0.00069452,0.00045184,0.0014266
0.60364,0.00035558,0.00031109,0.0013627,0.00068682,0.00070966,0.00050535,0.0014997
0.61205,0.00035726,0.00030941,0.0014412,0.00076293,0.00072442,0.00057166,0.0015846
0.62057,0.0003593,0.00030737,0.0015367,0.00085538,0.000738,0.00065556,0.0016846
0.62921,0.00036184,0.00030483,0.0016559,0.00097034,0.00074898,0.00076444,0.0018048
0.63798,0.00036511,0.00030156,0.0018092,0.0011177,0.0007548,0.00091036,0.0019529
0.64686,0.00036947,0.0002972,0.0020145,0.0013142,0.00075062,0.0011143,0.0021421
0.65587,0.00037563,0.00029103,0.0023055,0.0015913,0.00072667,0.001416,0.0023962
0.665,0.00038512,0.00028155,0.0027535,0.0020159,0.00066085,0.0019011,0.0027647
