#f, DARM, CARM, MICH, PRC, SRC
0.62057,4.1031e-16-1.633e-18i,1.0872e-05+6.5375e-05i,1.4325e-16-8.1323e-22i,1.1627e-16+1.5476e-19i,6.0885e-16+2.2177e-18i
0.62921,4.3138e-16-1.747e-18i,9.6194e-06+6.2304e-05i,1.4367e-16-1.1326e-21i,1.1019e-16+1.5109e-19i,5.7045e-16+2.1002e-18i
0.63798,4.5583e-16-1.8813e-18i,8.2722e-06+5.868e-05i,1.4422e-16-1.5736e-21i,1.0321e-16+1.4626e-19i,5.2748e-16+1.9636e-18i
0.64686,4.8478e-16-2.0437e-18i,6.8412e-06+5.4354e-05i,1.4497e-16-2.2135e-21i,9.5147e-17+1.3996e-19i,4.7907e-16+1.8045e-18i
0.65587,5.2008e-16-2.2488e-18i,5.3504e-06+4.9139e-05i,1.4605e-16-3.2094e-21i,8.5718e-17+1.3176e-19i,4.2415e-16+1.6191e-18i
0.665,5.6528e-16-2.5269e-18i,3.8437e-06+4.2789e-05i,1.4774e-16-4.9301e-21i,7.4557e-17+1.211e-19i,3.6137e-16+1.4026e-18i
0.67426,6.2897e-16-2.9593e-18i,2.3964e-06+3.4985e-05i,1.5074e-16-8.4572e-21i,6.1162e-17+1.0718e-19i,2.8894e-16+1.1491e-18i
0.68365,7.4161e-16-3.874e-18i,1.1304e-06+2.5316e-05i,1.5755e-16-1.8494e-20i,4.4863e-17+8.8963e-20i,2.0459e-16+8.5188e-19i
0.69317,1.185e-15-9.4134e-18i,2.367e-07+1.3268e-05i,1.8689e-16-9.0145e-20i,2.5064e-17+6.6569e-20i,1.0576e-16+5.0527e-19i
0.70282,5.9017e-16-4.1968e-18i,3.7674e-09-2.9089e-06i,1.2345e-16-5.9036e-19i,-1.1656e-17+8.0161e-20i,-2.9303e-17+1.417e-19i
0.71261,6.1123e-16-1.9838e-18i,8.6148e-07-2.1642e-05i,1.2249e-16-5.2319e-21i,-4.2178e-17-2.8026e-20i,-1.6544e-16-4.2971e-19i
0.72253,7.4075e-16-2.5788e-18i,3.3867e-06-4.6435e-05i,1.2933e-16+2.1639e-21i,-9.2797e-17-1.0908e-19i,-3.4749e-16-1.0279e-18i
0.7326,8.7231e-16-3.0914e-18i,8.3234e-06-7.851e-05i,1.324e-16+3.2012e-21i,-1.7071e-16-2.4531e-19i,-5.8169e-16-1.7474e-18i
0.7428,1.0251e-15-3.5539e-18i,1.6428e-05-0.00012044i,1.3414e-16+3.3292e-21i,-3.04e-16-5.1102e-19i,-8.9274e-16-2.6059e-18i
0.75314,1.2078e-15-3.8714e-18i,2.7945e-05-0.00017613i,1.3528e-16+3.2574e-21i,-5.8333e-16-1.1943e-18i,-1.3251e-15-3.5972e-18i
0.76363,1.3969e-15-3.6416e-18i,4.0959e-05-0.00025156i,1.3611e-16+3.1323e-21i,-1.5436e-15-4.8109e-18i,-1.9649e-15-4.6006e-18i
0.77426,1.4014e-15-1.8792e-18i,4.6418e-05-0.00035414i,1.3685e-16+2.967e-21i,7.6607e-15-5.0556e-17i,-2.9978e-15-4.9704e-18i
0.78505,5.387e-16+8.7404e-19i,1.4713e-05-0.0004372i,1.3698e-16+1.0536e-20i,1.1735e-15+5.6899e-19i,-4.4879e-15-2.0763e-18i
0.79598,-1.3536e-15+1.6289e-18i,-0.00012317-0.00071409i,1.3609e-16+2.1965e-21i,9.343e-16+7.1761e-19i,-1.1584e-14+4.6239e-17i
0.80706,-1.8144e-15+5.3462e-18i,-0.00039041-0.00072935i,1.3701e-16+2.7637e-21i,6.8514e-16+6.8598e-19i,-1.6863e-13+1.9618e-14i
0.8183,-1.5618e-15+6.3575e-18i,-0.00056868-0.00053465i,1.3739e-16+2.7694e-21i,5.6728e-16+6.5124e-19i,1.6214e-14+2.5361e-16i
0.8297,-1.2651e-15+5.8634e-18i,-0.00055582-0.00033229i,1.3765e-16+2.7399e-21i,4.9684e-16+6.2255e-19i,8.4534e-15+8.6472e-17i
