# Transfer Function (TF) from vertical acceleration ground motion [m/s/s] to vertical TM motion [m] for ETMY suspension which has stucked GAS filters at F1, F2, F3.
# This TF is calculated by K.Miyo with "SuspensionModel/release/0.4". (https://github.com/gw-vis/SuspensionModel/tree/release/0.4)
# 
# Frequency[Hz], Magnitude[m/(m/s/s)], Phase[degree]
5.8614,4.9921e-08,54.209
5.9156,4.6215e-08,54.379
5.9704,4.2836e-08,54.556
6.0256,3.975e-08,54.74
6.0814,3.6927e-08,54.93
6.1376,3.4342e-08,55.127
6.1944,3.1971e-08,55.328
6.2517,2.9793e-08,55.535
6.3096,2.7791e-08,55.746
6.368,2.5948e-08,55.961
6.4269,2.4249e-08,56.18
6.4863,2.2682e-08,56.402
6.5464,2.1235e-08,56.628
6.6069,1.9897e-08,56.856
6.6681,1.8659e-08,57.088
6.7298,1.7512e-08,57.322
6.792,1.6449e-08,57.558
6.8549,1.5463e-08,57.796
6.9183,1.4548e-08,58.036
6.9823,1.3697e-08,58.279
7.0469,1.2906e-08,58.522
7.1121,1.217e-08,58.768
7.1779,1.1484e-08,59.014
7.2444,1.0845e-08,59.262
7.3114,1.025e-08,59.511
7.379,9.6939e-09,59.761
7.4473,9.175e-09,60.012
7.5162,8.6903e-09,60.263
7.5858,8.2372e-09,60.515
7.656,7.8134e-09,60.768
7.7268,7.4169e-09,61.021
7.7983,7.0457e-09,61.274
7.8705,6.698e-09,61.528
7.9433,6.3722e-09,61.782
8.0168,6.0668e-09,62.036
8.091,5.7803e-09,62.29
8.1658,5.5116e-09,62.543
8.2414,5.2594e-09,62.797
8.3176,5.0225e-09,63.05
8.3946,4.8001e-09,63.303
8.4723,4.5911e-09,63.555
8.5507,4.3948e-09,63.807
8.6298,4.2103e-09,64.058
8.7096,4.0368e-09,64.308
8.7902,3.8737e-09,64.558
8.8716,3.7204e-09,64.806
8.9536,3.5762e-09,65.054
9.0365,3.4407e-09,65.3
9.1201,3.3133e-09,65.545
9.2045,3.1936e-09,65.788
9.2897,3.0811e-09,66.03
9.3756,2.9754e-09,66.271
